,start_date,1100 Spruce St,1100 Walnut St,1360 Gillaspie Dr,1500 Pearl St,3172 Broadway,900 Walnut St
241,2018-08-30,,7.748,6.274,10.462,7.062,117.306
242,2018-08-31,102.128,53.668,13.638,,25.048000000000002,44.458
243,2018-09-01,,54.02799999999999,16.606,,,
244,2018-09-02,39.39,,11.564,12.548,,28.002000000000002
245,2018-09-03,,14.112,14.896,57.164,45.726,43.412
246,2018-09-04,25.248,12.34,132.34199999999998,,2.046,
247,2018-09-05,18.496,,79.65800000000002,,8.776,55.408
248,2018-09-06,18.78,,35.296,11.54,6.188,75.422
249,2018-09-07,27.752,76.39999999999999,40.466,,32.32,78.13799999999999
250,2018-09-08,,66.3,43.958,14.632000000000001,,61.48400000000001
251,2018-09-09,17.768,43.794,61.16399581589958,74.25399999999999,17.638000000000005,
252,2018-09-10,8.074,39.076,80.64176820731126,28.362,24.736,
253,2018-09-11,,53.260000000000005,96.91423597678919,12.260000000000002,53.629999999999995,32.638
254,2018-09-12,13.044,20.11,34.732913884007026,30.426,16.104,58.449999999999996
255,2018-09-13,12.448,,176.2822187002626,15.296,7.696,56.916
256,2018-09-14,61.914,10.844,36.56686741573034,34.76,,108.52400000000002
257,2018-09-15,7.34,63.328,,56.232000000000006,,51.072
258,2018-09-16,31.674,24.924,12.57,36.786,12.102,80.58200000000001
259,2018-09-17,9.362,,23.022,19.815999999999995,6.468,37.238
260,2018-09-18,60.571999999999996,28.496,33.754,18.56,25.144,27.27
261,2018-09-19,,57.553999999999995,9.888,12.751999999999999,4.182,89.58200000000001
262,2018-09-20,30.972,21.336,39.204,36.434,55.576,50.818
263,2018-09-21,23.764,36.996,17.986,18.687999999999995,20.466,128.504
264,2018-09-22,43.298,3.812,5.164,21.728,11.882000000000001,
265,2018-09-23,27.018,23.796000000000003,28.356,14.69,27.746,57.432
266,2018-09-24,77.554,,73.0433445945946,32.705999999999996,18.286,69.23599999999999
267,2018-09-25,,28.292,97.74865540540539,43.273999999999994,3.596,39.106
268,2018-09-26,5.552,20.826000000000004,77.9745,58.129999999999995,54.438,50.826
269,2018-09-27,61.224000000000004,23.494,145.40612167689162,26.318,16.55,69.952
270,2018-09-28,93.124,46.182,118.28537832310838,59.476,19.03,65.774
271,2018-09-29,33.513999999999996,,43.798,,,51.778
272,2018-09-30,19.778,5.412,55.624475920679885,33.658,45.254,23.042
273,2018-10-01,59.848,,68.48679680659285,,10.772,42.178
274,2018-10-02,23.832,26.936000000000007,88.90472727272729,,24.666,29.636000000000003
275,2018-10-03,36.758,79.922,44.102026974951826,58.418,23.964,55.692
276,2018-10-04,,100.06,120.55797302504816,15.346,25.724000000000004,70.982
277,2018-10-05,22.978,56.364000000000004,13.892,35.306,12.56,86.008
278,2018-10-06,23.14,13.95,83.928,32.9,5.71,73.38600000000001
279,2018-10-07,64.012,42.262,16.044,23.392,33.682,48.982
280,2018-10-08,31.27,,6.246,35.748,32.764,82.52
281,2018-10-09,32.004,48.568000000000005,95.3283422818792,,21.740000000000002,50.081999999999994
282,2018-10-10,23.286,44.525999999999996,197.94362938950889,7.938,51.844,27.584
283,2018-10-11,10.532,50.556,58.192028328611904,51.56600000000001,7.028,124.57
284,2018-10-12,27.606,94.438,69.974,68.378,21.632,132.45600000000002
285,2018-10-13,15.485999999999999,56.653999999999996,10.838000000000001,32.834,6.49,70.312
286,2018-10-14,,,4.092,,66.282,
287,2018-10-15,16.96,69.642,46.532,63.472,42.660000000000004,
288,2018-10-16,,55.482,121.694,28.676,3.7,138.16400000000002
289,2018-10-17,30.556,,102.86978070175438,,29.244,43.022
290,2018-10-18,47.9,55.022,59.78421929824561,56.89,4.532,31.168
291,2018-10-19,25.084456375838926,21.33,38.604000000000006,58.696000000000005,16.578,77.926
292,2018-10-20,61.595543624161074,,16.792,55.974,6.132,24.522
293,2018-10-21,13.098,33.802,21.226,,40.798,90.92399999999999
294,2018-10-22,13.748,15.948,,,12.988,100.672
295,2018-10-23,6.638,,19.486,,39.388,36.816
296,2018-10-24,38.058,47.784000000000006,130.77200000000002,71.45,26.583999999999996,53.629999999999995
297,2018-10-25,25.032,38.9,40.44199999999999,16.404,49.226,145.038
298,2018-10-26,44.260000000000005,13.962,12.706,22.748,62.372,105.592
299,2018-10-27,19.114,13.104,32.324,,15.378,109.762
300,2018-10-28,39.06,23.512,45.8744214559387,19.212,21.392,38.096000000000004
301,2018-10-29,16.768,6.246,41.41402298850575,,61.942,92.834
302,2018-10-30,40.699999999999996,41.372,96.15802364066194,,21.732,81.89999999999999
303,2018-10-31,36.577999999999996,24.084,168.6696990035012,74.70199999999998,68.93400000000001,121.832
304,2018-11-01,81.566,4.152,88.56580428153555,,75.5,112.608
305,2018-11-02,21.926000000000002,16.778,78.08202862985685,34.288,45.464,35.522
306,2018-11-03,64.53999999999999,54.56399999999999,0.656,11.76,27.35,72.244
307,2018-11-04,27.352,15.028,12.058,38.598,51.258,38.74
308,2018-11-05,,6.144,45.8586026058632,7.332,43.064,78.64999999999999
309,2018-11-06,38.704,,109.84139739413679,,24.124000000000002,153.256
310,2018-11-07,12.764,,130.63239716312057,12.866,53.646,83.116
311,2018-11-08,54.286,60.206,68.57960283687945,44.876000000000005,32.764,89.456
312,2018-11-09,44.638,55.087999999999994,35.924,89.80000000000001,76.536,67.71
313,2018-11-10,75.45599999999999,21.93,61.995999999999995,24.592,,73.246
314,2018-11-11,46.428,63.43000000000001,20.038,7.85,39.276,54.43600000000001
315,2018-11-12,64.25999999999999,40.388,13.916,55.208,11.95,70.752
316,2018-11-13,75.054,38.72800000000001,21.404,25.07,69.544,82.324
317,2018-11-14,41.464,37.49000000000001,139.8531142857143,11.32,24.364,110.092
318,2018-11-15,17.666,92.984,4.104885714285725,23.17,39.298,98.66799999999999
319,2018-11-16,116.696,19.458,48.194,7.456,40.08960714285715,87.586
320,2018-11-17,37.764,52.6860375,14.52,8.676,25.45039285714286,65.21000000000001
321,2018-11-18,21.894,35.1999625,62.056,,61.102000000000004,39.158
322,2018-11-19,67.374,53.696,99.33159103641458,14.534,40.16,138.668
323,2018-11-20,46.4,3.9299999999999997,60.518408963585436,17.665999999999997,23.784,19.618
324,2018-11-21,65.048,,25.926000000000002,,,98.80799999999999
325,2018-11-22,9.604,,,,,
326,2018-11-23,18.702,26.066,9.466,13.984,7.824,48.794
327,2018-11-24,19.759999999999998,14.784000000000002,8.218,,54.552,66.894
328,2018-11-25,16.881999999999998,7.818,,24.198,56.958,
329,2018-11-26,58.228,44.88,11.972000000000001,108.092,36.938,81.458
330,2018-11-27,9.394,26.878,36.16,19.804000000000002,77.606,
331,2018-11-28,63.147999999999996,53.855999999999995,17.442,50.482,42.306,13.598000000000003
332,2018-11-29,69.268,16.528,31.29,,57.455999999999996,57.19
333,2018-11-30,24.497999999999998,78.672,18.268,2.748,80.062,172.11032653061224
334,2018-12-01,78.604,75.284,0.842,70.162,15.712,27.829673469387753
335,2018-12-02,15.122,10.344,55.68599999999999,61.056,52.748000000000005,85.866
336,2018-12-03,95.936,5.836,39.748,12.372,36.65,22.694
337,2018-12-04,12.201999999999998,41.483999999999995,47.042,5.158,69.81400000000001,96.742
338,2018-12-05,67.91799999999999,47.714,4.274,39.12,79.398,71.406
339,2018-12-06,9.864,105.286,6.276,48.562,51.444,40.944
340,2018-12-07,135.962,18.382,41.96,48.136,83.23599999999999,76.482
341,2018-12-08,68.878,69.88861809045225,4.678,103.69952195121951,14.14,108.218
342,2018-12-09,38.804,88.29338190954775,103.82000000000001,52.0464780487805,83.23400000000001,66.45
343,2018-12-10,32.992000000000004,40.3,4.832,28.536,36.769999999999996,67.372
344,2018-12-11,30.088,58.76199999999999,108.056,15.172,47.97200000000001,107.10199999999999
345,2018-12-12,52.913999999999994,40.04,11.684000000000001,41.792,107.832,196.1818901098901
346,2018-12-13,49.004000000000005,117.49399999999999,43.842,40.154,63.752,85.60010989010989
347,2018-12-14,128.972,37.004,14.902,68.006,55.28,138.222
348,2018-12-15,39.486000000000004,14.896,10.426,43.78,55.919999999999995,46.940000000000005
349,2018-12-16,58.802,20.422,26.9,44.523999999999994,22.204,43.629999999999995
350,2018-12-17,101.1,67.386,19.428,22.563999999999997,101.862,60.279999999999994
351,2018-12-18,28.466,78.762,39.752,39.372,62.620000000000005,112.476
352,2018-12-19,139.76000000000002,100.774,53.962,46.879999999999995,67.72,225.588
353,2018-12-20,91.55,29.048000000000002,79.3,45.34,95.744,66.28999999999999
354,2018-12-21,150.304,69.952,24.58,104.924,32.368,114.512
355,2018-12-22,105.386,36.282,0.7,,4.002,48.906
356,2018-12-23,34.018,31.066000000000003,94.378,65.894,50.448,102.07600000000001
357,2018-12-24,17.188000000000002,41.83200000000001,16.172,17.766,93.148,36.05200000000001
358,2018-12-25,,,45.297999999999995,,26.484,
359,2018-12-26,19.590000000000003,52.736,23.494,,24.588,84.878
360,2018-12-27,7.756,38.946,51.653999999999996,25.962,31.524,114.21
361,2018-12-28,70.014,37.602000000000004,42.476,8.818,116.84400000000001,65.16399999999999
362,2018-12-29,32.316,,17.188,54.68600000000001,17.903999999999996,57.588
363,2018-12-30,15.554,37.388,18.77,16.838,29.308,35.622
364,2018-12-31,42.147999999999996,,15.639999999999999,13.892,58.474,81.072
365,2019-01-01,9.256,25.442,8.372,,,
366,2019-01-02,,48.257999999999996,10.504,10.986,103.44800000000001,
367,2019-01-03,30.796,39.218,11.762,61.400000000000006,43.96,101.696
368,2019-01-04,56.58,,73.586,59.88,45.897999999999996,73.404
369,2019-01-05,33.98,34.464,17.428,,2.032,47.04
370,2019-01-06,40.5,19.654,55.7,10.166,50.105999999999995,93.352
371,2019-01-07,103.068,,29.39,45.414,59.71,29.3
372,2019-01-08,26.314,,40.61,25.362000000000002,46.641999999999996,73.64
373,2019-01-09,38.15,38.522,38.304,46.964,74.854,99.822
374,2019-01-10,37.598,,60.898,27.698,113.006,94.956
375,2019-01-11,25.632,23.64,8.154,90.59,45.47,119.894
376,2019-01-12,39.132000000000005,29.45,20.6,,57.39,20.67
377,2019-01-13,45.534,,34.888,,89.60199999999999,95.856
378,2019-01-14,29.821999999999996,13.646,67.532,79.286,109.904,70.97
379,2019-01-15,66.482,82.902,14.314,34.403999999999996,141.74108387096774,82.39999999999999
380,2019-01-16,52.24999999999999,,32.736,,121.76401251457442,47.714000000000006
381,2019-01-17,85.018,86.59745753424657,0.398,36.206,87.38890361445783,32.842
382,2019-01-18,43.866,24.59854246575344,21.202,45.508,18.129999999999995,85.53399999999999
383,2019-01-19,64.926,20.742,10.61,43.44800000000001,1.202,68.738
384,2019-01-20,28.91,11.93,35.596000000000004,,79.44600000000001,73.858
385,2019-01-21,40.966,22.192,6.764,15.344000000000001,91.918,6.402
386,2019-01-22,16.2,58.254000000000005,4.638,41.025999999999996,48.924,
387,2019-01-23,71.70799999999998,,6.982,27.388,66.4,67.036
388,2019-01-24,51.738,11.252,2.706,40.298,94.24,63.388000000000005
389,2019-01-25,198.572,32.208,10.504,72.52599999999998,77.0,158.126
390,2019-01-26,89.746,5.864000000000001,3.21,70.63,64.434,103.06200000000001
391,2019-01-27,84.72,,50.468,13.458,84.792,1.604
392,2019-01-28,12.878,21.554000000000002,21.774,97.956,97.24200000000002,61.156
393,2019-01-29,35.754,72.45599999999999,37.26,82.74000000000001,74.30199999999999,132.934
394,2019-01-30,111.81,31.266,11.836,71.822,95.882,95.472
395,2019-01-31,63.686,68.58999999999999,53.616,131.372,83.22200000000001,94.424
396,2019-02-01,48.938,85.23,14.722,61.66066666666667,141.7234382022472,133.644
397,2019-02-02,43.216,59.788,14.44,26.32133333333333,43.916561797752806,46.732
398,2019-02-03,17.305999999999997,28.442,47.646,,49.68089302325581,
399,2019-02-04,34.118,23.881999999999998,,55.086,105.50510697674419,26.514
